,District,Price,Tel,combined_bs,cooking_space,dist,floor,house_type,lat,link,living_space,lon,metro_station,metro_time,new,rooms,separate_bs,total_floors,total_space,walk,metro_time_non,total_floors_non,living_space_non,cooking_space_non
111,0,8500000,1,1,11.5,5.39342184188,6,панельныйдом,55.734805,150389374,18.5,37.668156,Марксистская,5.0,0,1.0,0,17.0,37.0,1.0,0,0,0,0
112,0,30900000,1,1,13.5,9.75761156209,11,Else,55.750028,150697196,50.0,37.534397,Международная,1.0,0,2.0,1,86.0,63.5,0.0,0,0,0,0
113,0,76080000,0,1,11.7,7.57701431145,12,монолитный,55.761538,150716131,91.1,37.554214,Улица 1905 года,9.0,0,4.0,1,18.0,158.5,1.0,0,0,0,0
114,0,49000000,1,1,14.0,5.33965613783,11,кирпичный,55.742189,147727772,72.0,37.574992,Киевская,8.0,0,5.0,1,12.0,113.0,1.0,0,0,0,0
115,0,8500000,1,1,6.0,6.82134501283,3,Else,55.770537,137249950,28.7,37.562164,Улица 1905 года,8.0,0,2.0,0,5.0,43.5,1.0,0,0,0,0
116,0,8500000,1,1,9.6,5.08632979299,10,Else,55.739929,150684548,19.6,37.666459,Марксистская,10.0,0,1.0,0,16.0,35.0,1.0,0,0,0,0
117,0,8500000,0,0,5.0,6.10943609567,1,кирпичный,55.755282,148664905,26.6,37.567159,Краснопресненская,7.0,0,2.0,1,9.0,42.0,1.0,0,0,0,0
118,0,8570754,0,1,9.01186393805,5.86425031966,1,Else,55.775753,149031231,44.0,37.671938,Красносельская,6.0,1,1.0,0,13.9653499653,44.0,1.0,0,1,0,1
119,0,8577450,0,0,9.01186393805,6.54163325587,2,монолитный,55.770244,50961098,28.4114849481,37.564689,Улица 1905 года,5.0,1,1.0,0,39.0,44.1,1.0,0,0,1,1
120,0,8611226,0,1,9.01186393805,5.86425031966,4,Else,55.775753,149031391,36.8,37.671938,Красносельская,6.0,1,1.0,0,13.9653499653,36.8,1.0,0,1,0,1
121,0,8628726,0,1,9.01186393805,5.86425031966,3,Else,55.775753,149031366,50.0,37.671938,Красносельская,6.0,1,1.0,0,13.9653499653,50.0,1.0,0,1,0,1
122,0,8690500,0,1,16.0,6.54163325587,2,монолитный,55.770244,150712854,20.0,37.564689,Улица 1905 года,7.0,1,1.0,0,44.0,45.5,0.0,0,0,0,0
123,0,8700000,0,1,8.0,7.5096990134,12,панельныйдом,55.742103,148350834,19.0,37.68897,Площадь Ильича,10.0,0,1.0,0,17.0,39.0,1.0,0,0,0,0
124,0,8783700,0,0,9.01186393805,6.54163325587,4,монолитный,55.770244,138051038,28.4114849481,37.564689,Улица 1905 года,5.0,1,1.0,0,39.0,43.7,1.0,0,0,1,1
125,0,8800000,0,0,11.3,7.55958917229,20,монолитный,55.739189,150753536,21.4,37.68906,Римская,16.0,0,1.0,1,25.0,43.0,0.0,0,0,0,0
126,0,8800000,1,1,5.0,4.83290492787,5,кирпичный,55.738343,51566329,18.0,37.580436,Парк Культуры,13.0,0,1.0,0,5.0,30.0,1.0,0,0,0,0
127,0,8839861,0,1,9.01186393805,5.86425031966,2,Else,55.775753,149031325,52.7,37.671938,Красносельская,6.0,1,1.0,0,13.9653499653,52.7,1.0,0,1,0,1
128,0,8851913,0,1,9.01186393805,5.86425031966,2,Else,55.775753,149031239,40.3,37.671938,Красносельская,6.0,1,1.0,0,13.9653499653,40.3,1.0,0,1,0,1
129,0,8900000,1,0,10.5,6.24401258536,12,панельныйдом,55.745473,149330276,20.0,37.67784,Римская,3.0,0,1.0,1,22.0,40.0,0.0,0,0,0,0
130,0,8900000,1,0,10.0,6.24401258536,12,панельныйдом,55.745473,149418633,20.0,37.67784,Площадь Ильича,3.0,0,1.0,1,22.0,40.0,0.0,0,0,0,0
131,0,8900000,1,1,6.0,5.1165312969,5,панельныйдом,55.742651,149454905,18.0,37.667222,Марксистская,7.0,0,1.0,0,9.0,34.0,1.0,0,0,0,0
132,0,8900000,0,0,7.0,6.22211616033,1,панельныйдом,55.728591,150094573,31.0,37.67431,Пролетарская,9.0,0,2.0,1,12.0,47.5,1.0,0,0,0,0
133,0,8903736,0,1,9.01186393805,5.86425031966,3,Else,55.775753,149031277,43.7,37.671938,Красносельская,6.0,1,1.0,0,13.9653499653,43.7,1.0,0,1,0,1
134,0,8950000,1,0,9.2,3.80207658033,1,Else,55.785726,150714925,24.2,37.598914,Менделеевская,6.0,0,2.0,1,5.0,46.4,1.0,0,0,0,0
135,0,8980000,0,0,9.0,5.62034097218,13,кирпичный,55.780046,150713491,23.1,37.668237,Красносельская,2.0,0,1.0,1,14.0,38.8,1.0,0,0,0,0
136,0,9000000,0,0,11.3,7.39275193681,23,монолитный,55.740015,150753351,21.4,37.68765,Римская,10.0,0,1.0,1,25.0,43.0,0.0,0,0,0,0
137,0,9000000,1,1,10.0,5.82753058615,16,кирпично-монолитный,55.781934,136772061,17.0,37.669603,Красносельская,4.0,0,1.0,0,21.0,35.0,1.0,0,0,0,0
138,0,8999990,1,1,10.0,2.84694539126,6,блочный,55.784521,150629004,20.0,37.630517,Проспект Мира,5.0,0,1.0,0,12.0,35.0,1.0,0,0,0,0
139,0,9000000,1,0,7.0,3.37355864503,1,сталинский,55.788054,149657988,40.0,37.635979,Проспект Мира,8.0,0,2.0,1,8.0,52.0,1.0,0,0,0,0
140,0,17000000,1,1,4.0,2.150649386,4,Else,55.733477,149881870,33.3,37.632583,Павелецкая,5.0,0,2.0,0,9.0,39.0,1.0,0,0,0,0
141,0,55000000,0,2,9.01186393805,8.10552544675,16,кирпично-монолитный,55.758402,149670544,107.0,37.549282,Улица 1905 года,10.0,0,3.0,0,22.0,134.2,1.0,0,0,0,1
142,0,157259250,1,1,25.0,1.68766086371,3,кирпично-монолитный,55.738252,150433658,90.0,37.61344,Полянка,10.0,0,3.0,0,9.0,145.0,1.0,0,0,0,0
143,0,9000000,1,1,7.0,3.91540667261,4,Else,55.753889,150515133,17.0,37.657305,Курская,4.0,0,1.0,0,12.0,33.0,0.0,0,0,0,0
144,0,9000000,0,1,8.0,6.54690477558,13,панельныйдом,55.740705,150632548,19.0,37.680023,Римская,10.0,0,1.0,0,17.0,38.0,0.0,0,0,0,0
145,0,9000000,1,1,10.0,6.39479627209,1,Else,55.768061,150809777,20.0,37.678514,Бауманская,7.0,0,1.0,0,12.0,40.0,1.0,0,0,0,0
146,0,9000000,0,1,5.0,4.05569754284,3,Else,55.765088,148934694,18.0,37.657493,Красные ворота,11.0,0,1.0,0,9.0,31.0,1.0,0,0,0,0
147,0,9000000,0,1,5.1,6.64323026569,5,блочный,55.761872,148257362,21.3,37.562676,Улица 1905 года,3.0,0,1.0,0,9.0,31.6,1.0,0,0,0,0
148,0,9000000,1,0,10.1,5.750312186,1,кирпичный,55.771925,147059590,16.0,37.572369,Белорусская,5.0,0,1.0,1,16.0,36.7,1.0,0,0,0,0
149,0,9000000,1,0,10.1,5.750312186,1,кирпичный,55.771925,147215248,16.0,37.572369,Баррикадная,9.0,0,1.0,1,16.0,36.7,1.0,0,0,0,0
150,0,9000000,1,0,7.2,3.56140388727,7,блочный,55.787801,140323353,31.0,37.639671,Рижская,7.0,0,2.0,1,12.0,48.0,1.0,0,0,0,0
151,0,9027459,0,1,9.01186393805,5.86425031966,1,Else,55.775753,149031215,41.1,37.671938,Красносельская,6.0,1,1.0,0,13.9653499653,41.1,1.0,0,1,0,1
152,0,9069305,0,1,9.01186393805,5.86425031966,4,Else,55.775753,149031378,53.6,37.671938,Красносельская,6.0,1,1.0,0,13.9653499653,53.6,1.0,0,1,0,1
153,0,9100000,1,1,10.0,2.84697453182,12,панельныйдом,55.725995,148894545,19.1,37.634892,Павелецкая,9.0,0,1.0,0,16.0,38.0,1.0,0,0,0,0
154,0,9117548,0,1,9.01186393805,5.86425031966,3,Else,55.775753,149031357,53.3,37.671938,Красносельская,6.0,1,1.0,0,13.9653499653,53.3,1.0,0,1,0,1
155,0,9118800,0,0,9.01186393805,6.54163325587,6,монолитный,55.770244,50960813,28.4114849481,37.564689,Улица 1905 года,5.0,1,1.0,0,39.0,44.7,1.0,0,0,1,1
156,0,9199000,1,1,9.7,2.00494318264,16,блочный,55.776051,26243062,19.0,37.626556,Сухаревская,5.0,0,1.0,0,16.0,34.2,1.0,0,0,0,0
157,0,9200000,0,0,9.0,3.99976488393,4,панельныйдом,55.771312,149922809,34.0,37.655347,Комсомольская,3.0,0,2.0,0,6.0,54.0,1.0,0,0,0,0
158,0,9200000,1,1,6.0,2.33277831208,1,кирпичный,55.779423,148224543,29.0,37.627966,Проспект Мира,6.0,0,2.0,0,5.0,44.0,1.0,0,0,0,0
159,0,9200000,1,1,8.0,6.96350156295,9,панельныйдом,55.74108,147901521,19.0,37.683877,Римская,11.0,0,1.0,0,17.0,38.0,1.0,0,0,0,0
160,0,9200000,0,1,9.0,7.35409317772,6,кирпичный,55.743041,150315093,20.0,37.687659,Римская,10.0,0,1.0,0,17.0,38.0,1.0,0,0,0,0
161,0,9235225,0,1,9.01186393805,5.90357060989,1,кирпичный,55.776294,150235286,46.2,37.672163,Красносельская,5.0,0,2.0,0,6.0,46.2,1.0,0,0,0,1
162,0,9290000,1,1,10.0,8.08778666905,3,монолитный,55.737345,150282604,18.0,37.693624,Римская,15.0,0,1.0,0,25.0,39.0,0.0,0,0,0,0
163,0,9300000,1,0,6.0,2.86174487007,9,кирпичный,55.724287,150354513,18.0,37.61167,Октябрьская,10.0,0,1.0,0,9.0,31.0,1.0,0,0,0,0
164,0,9300000,1,1,5.0,9.50002820599,8,кирпичный,55.776598,148533758,27.0,37.705634,Электрозаводская,7.0,0,2.0,0,9.0,42.0,1.0,0,0,0,0
165,0,9300000,1,1,5.0,3.15454084943,4,кирпичный,55.789082,150096708,23.0,37.627795,Рижская,7.0,0,1.0,0,8.0,34.0,0.0,0,0,0,0
166,0,9350000,1,1,6.2,6.92502405077,3,кирпичный,55.734557,150454982,24.0,37.68244,Пролетарская,12.0,0,2.0,0,9.0,38.1,1.0,0,0,0,0
167,0,9356608,0,1,9.01186393805,5.90357060989,2,кирпичный,55.776294,149920195,42.6,37.672163,Красносельская,5.0,0,1.0,0,6.0,42.6,1.0,0,0,0,1
168,0,439696863,1,3,25.0,1.71968949064,6,монолитный,55.735915,149968086,300.0,37.616252,Полянка,3.0,0,5.0,0,9.0,368.0,0.0,0,0,0,0
